Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Gibbons, CL; Mangen, MJJ; Plass, D; Havelaar, AH; Brooke, RJ; Kramarz, P; Peterson, KL; Stuurman, AL; Cassini, A; Fèvre, EM; Kretzschmar, MEE",,,,"Gibbons, Cheryl L.; Mangen, Marie-Josee J.; Plass, Dietrich; Havelaar, Arie H.; Brooke, Russell John; Kramarz, Piotr; Peterson, Karen L.; Stuurman, Anke L.; Cassini, Alessandro; Fevre, Eric M.; Kretzschmar, Mirjam E. E.",,Burden Communicable Dis Europe BCo,Measuring underreporting and under-ascertainment in infectious disease datasets: a comparison of methods,BMC PUBLIC HEALTH,,,,Article,,,,,,,,"Background: Efficient and reliable surveillance and notification systems are vital for monitoring public health and disease outbreaks. However, most surveillance and notification systems are affected by a degree of underestimation (UE) and therefore uncertainty surrounds the 'true' incidence of disease affecting morbidity and mortality rates. Surveillance systems fail to capture cases at two distinct levels of the surveillance pyramid: from the community since not all cases seek healthcare (under-ascertainment), and at the healthcare-level, representing a failure to adequately report symptomatic cases that have sought medical advice (underreporting). There are several methods to estimate the extent of under-ascertainment and underreporting. Methods: Within the context of the ECDC-funded Burden of Communicable Diseases in Europe (BCoDE)-project, an extensive literature review was conducted to identify studies that estimate ascertainment or reporting rates for salmonellosis and campylobacteriosis in European Union Member States (MS) plus European Free Trade Area (EFTA) countries Iceland, Norway and Switzerland and four other OECD countries (USA, Canada, Australia and Japan). Multiplication factors (MFs), a measure of the magnitude of underestimation, were taken directly from the literature or derived (where the proportion of underestimated, under-ascertained, or underreported cases was known) and compared for the two pathogens. Results: MFs varied between and within diseases and countries, representing a need to carefully select the most appropriate MFs and methods for calculating them. The most appropriate MFs are often disease-,country-, age-, and sex-specific. Conclusions: When routine data are used to make decisions on resource allocation or to estimate epidemiological parameters in populations, it becomes important to understand when, where and to what extent these data represent the true picture of disease, and in some instances (such as priority setting) it is necessary to adjust for underestimation. MFs can be used to adjust notification and surveillance data to provide more realistic estimates of incidence.","[Gibbons, Cheryl L.; Peterson, Karen L.] Univ Edinburgh, Ctr Immun Infect & Evolut, Ashworth Labs, Edinburgh, Midlothian, Scotland; [Mangen, Marie-Josee J.; Brooke, Russell John; Kretzschmar, Mirjam E. E.] Univ Med Ctr Utrecht, Julius Ctr Hlth Sci & Primary Care, Utrecht, Netherlands; [Plass, Dietrich] Univ Bielefeld, Sch Publ Hlth, Dept Publ Hlth Med, D-33615 Bielefeld, Germany; [Havelaar, Arie H.; Kretzschmar, Mirjam E. E.] Natl Inst Publ Hlth & Environm, Ctr Infect Dis Control, NL-3720 BA Bilthoven, Netherlands; [Havelaar, Arie H.] Univ Utrecht, Inst Risk Assessment Sci, Utrecht, Netherlands; [Kramarz, Piotr] European Ctr Dis Prevent & Control, Stockholm, Sweden; [Stuurman, Anke L.] Hlth Res & Consultancy BV, Pallas, Rotterdam, Netherlands; [Fevre, Eric M.] Int Livestock Res Inst, Nairobi, Kenya; [Fevre, Eric M.] Univ Liverpool, Inst Infect & Global Hlth, Liverpool L69 3BX, Merseyside, England",University of Edinburgh; Utrecht University; Utrecht University Medical Center; University of Bielefeld; Netherlands National Institute for Public Health & the Environment; Utrecht University; European Centre for Disease Prevention & Control; CGIAR; International Livestock Research Institute (ILRI); University of Liverpool,"Gibbons, CL (corresponding author), Univ Edinburgh, Ctr Immun Infect & Evolut, Ashworth Labs, Kings Bldg, Edinburgh, Midlothian, Scotland.",C.L.Gibbons@sms.ed.ac.uk,,,,,,,,248,277,,,,,,,,,,,FEB 11,2014,14,,,,,,,,147,10.1186/1471-2458-14-147,http://dx.doi.org/10.1186/1471-2458-14-147,,,,,,,,,,,,2024-11-27,WOS:000332717200002,View Full Record in Web of Science
J,"David, JM; Ravel, A; Nesbitt, A; Pintar, K; Pollari, F",,,,"David, J. M.; Ravel, A.; Nesbitt, A.; Pintar, K.; Pollari, F.",,,"Assessing multiple foodborne, waterborne and environmental exposures of healthy people to potential enteric pathogen sources: effect of age, gender, season, and recall period",EPIDEMIOLOGY AND INFECTION,,,,Article,,,,,,,,"Information is lacking in Canada on the frequency of exposures of healthy people to enteric pathogen sources (i.e. water, food, animal contact) at the community level. This information is critical to develop more robust risk assessments and prioritize control measures. A 12-month-long cross-sectional telephone survey of 1200 healthy individuals in a sentinel community was performed. Survey respondents were divided into three recall period groups (3, 7, 14 days). The occurrence of 46 exposures (including water, animal contact, environmental contact and high-risk foods) was assessed per recall period. Effect of age, gender, and season on exposures was modelled and frequencies of exposure were extrapolated. Thirty-five exposures had similar occurrences across recall periods. Age was significant for 23 exposures, season for 18, and gender for three. Exposures that vary by age and season (i.e. bottled water, swimming, etc.) warrant consideration when investigating and analysing cases of enteric illness.","[David, J. M.; Ravel, A.] Univ Montreal, Publ Hlth Agcy Canada, Lab Foodborne Zoonoses, C EnterNet Surveillance, St Hyacinthe, PQ, Canada; [David, J. M.; Ravel, A.] Univ Montreal, Fac Vet Med, Grp Rech Epidemiol Zoonoses & Sante Publ, St Hyacinthe, PQ J2S 7C6, Canada; [Nesbitt, A.; Pollari, F.] Publ Hlth Agcy Canada, Ctr Food Borne Environm & Zoonot Infect Dis, C EnterNet Surveillance, Guelph, ON, Canada; [Pintar, K.] Publ Hlth Agcy Canada, Lab Foodborne Zoonoses, C EnterNet surveillance, Guelph, ON, Canada",Universite de Montreal; Public Health Agency of Canada; Universite de Montreal; Public Health Agency of Canada; Public Health Agency of Canada,"David, JM (corresponding author), Publ Hlth Agcy Canada, Lab Foodborne Zoonoses, 3200 Rue Sicotte,CP5000, St Hyacinthe, PQ J2S 7C6, Canada.",julie.david@phac-aspc.gc.ca,,,,,,,,11,11,,,,,,,,,,,JAN,2014,142,1,,,,,28,39,,10.1017/S0950268813000770,http://dx.doi.org/10.1017/S0950268813000770,,,,,,,,,,,,2024-11-27,WOS:000332523900004,View Full Record in Web of Science
J,"Dalton, CB; Carlson, SJ; Butler, MT; Elvidge, E; Durrheim, DN",,,,"Dalton, Craig B.; Carlson, Sandra J.; Butler, Michelle T.; Elvidge, Elissa; Durrheim, David N.",,,"Building Influenza Surveillance Pyramids in Near Real Time, Australia",EMERGING INFECTIOUS DISEASES,,,,Article,,,,,,,,"A timely measure of circulating influenza virus severity has been elusive. Flutracking, the Australian online influenza-like illness surveillance system, was used to construct a surveillance pyramid in near real time for 2011/2012 participants and demonstrated a striking difference between years. Such pyramids will facilitate rapid estimation of attack rates and disease severity.","[Dalton, Craig B.; Carlson, Sandra J.; Butler, Michelle T.; Elvidge, Elissa; Durrheim, David N.] Hunter New England Populat Hlth, Newcastle, NSW, Australia; [Dalton, Craig B.; Durrheim, David N.] Newcastle Univ, Newcastle Upon Tyne NE1 7RU, Tyne & Wear, England",Newcastle University - UK,"Dalton, CB (corresponding author), Hunter New England Populat Hlth, Locked Bag 10, Wallsend, NSW 2287, Australia.",craig.dalton@hnehealth.nsw.gov.au,,,,,,,,11,14,,,,,,,,,,,NOV,2013,19,11,,,,,1863,1865,,10.3201/eid1911.121878,http://dx.doi.org/10.3201/eid1911.121878,,,,,,,,,,,,2024-11-27,WOS:000331061100024,View Full Record in Web of Science
J,"Wilking, H; Spitznagel, H; Werber, D; Lange, C; Jansen, A; Stark, K",,,,"Wilking, H.; Spitznagel, H.; Werber, D.; Lange, C.; Jansen, A.; Stark, K.",,,Acute gastrointestinal illness in adults in Germany: a population-based telephone survey,EPIDEMIOLOGY AND INFECTION,,,,Article,,,,,,,,"Population-based estimates of incidence and risk factors for acute gastrointestinal illness (AGI) are important for infectious disease surveillance and healthcare planning. We conducted a nationwide representative cross-sectional telephone survey of 21 262 adults over a 12-month period during 2008-2009 in Germany. Participants were asked if they had either AGI-related diarrhoea or vomiting in a 4-week recall period. We estimated 0.95 episodes/person per year (95% confidence interval 0.90-0.99), corresponding to 64.9 million episodes of AGI annually in adults, which results in 24.5 million outpatient visits, 19.9 million hospital days and 63.2 million days of work lost. We observed an overall declining trend of AGI with increasing age. Diarrhoea was more often reported than vomiting. The mean duration of illness was 3.8 days and did not differ between age groups. Social factors seemed to be weak predictors compared to state of health and health behaviour characteristics. This study allows international comparisons and contributes to the estimation of the global burden of AGI.","[Wilking, H.; Spitznagel, H.; Werber, D.; Jansen, A.; Stark, K.] Robert Koch Inst, Dept Infect Dis Epidemiol, D-13086 Berlin, Germany; [Lange, C.] Robert Koch Inst, Dept Epidemiol & Hlth Reporting, D-13086 Berlin, Germany; [Jansen, A.] European Ctr Dis Prevent & Control, Sci Advice Coordinat Sect, Stockholm, Sweden",Robert Koch Institute; Robert Koch Institute; European Centre for Disease Prevention & Control,"Wilking, H (corresponding author), Robert Koch Inst, Dept Infect Dis Epidemiol Gastrointestinal Infect, DGZ Ring 1, D-13086 Berlin, Germany.",WilkingH@rki.de,,,,,,,,34,38,,,,,,,,,,,NOV,2013,141,11,,,,,2365,2375,,10.1017/S0950268813000046,http://dx.doi.org/10.1017/S0950268813000046,,,,,,,,,,,,2024-11-27,WOS:000325222100014,View Full Record in Web of Science
J,"Halstead, FD; Lee, AV; Couto-Parada, X; Polley, SD; Ling, C; Jenkins, C; Chalmers, RM; Elwin, K; Gray, JJ; Iturriza-Gómara, M; Wain, J; Clark, DA; Bolton, FJ; Manuel, RJ",,,,"Halstead, Fenella D.; Lee, Adele V.; Couto-Parada, Xose; Polley, Spencer D.; Ling, Clare; Jenkins, Claire; Chalmers, Rachel M.; Elwin, Kristin; Gray, Jim J.; Iturriza-Gomara, Miren; Wain, John; Clark, Duncan A.; Bolton, Frederick J.; Manuel, Rohini J.",,Olympics GI Grp,Universal extraction method for gastrointestinal pathogens,JOURNAL OF MEDICAL MICROBIOLOGY,,,,Article,,,,,,,,"A universal stool extraction method for recovery of nucleic acids (NAs) from gastrointestinal pathogens was developed to support rapid diagnostics for the London 2012 Olympics. The method involved mechanical disruption (bead beating) of the stools, followed by automated extraction and detection using real-time PCR. This method had been used extensively in the Second Infectious Intestinal Disease Study (IID2) for the isolation of NA from bacteria and parasites (and was effective for the robust recovery of Cryptosporidium spp.) but had not been used for enteric viruses. To ensure this method was universally suitable, panels of samples known to contain target bacteria, viruses or parasites were processed in triplicate using the pre-treatment method routinely used for each target and the new extraction method (bead beating). The extracts were tested using real-time PCR and the cycle threshold values were compared. The results from this study showed that bead beating improved yields for the bacterial and parasitic targets and was suitable for the viral targets. The implementation of this universal method should confer cost- and time-saving benefits and streamline the processes required for the characterization of an array of pathogens from faecal samples.","[Halstead, Fenella D.] Royal Free London NHS Trust, London, England; [Halstead, Fenella D.; Jenkins, Claire; Gray, Jim J.; Iturriza-Gomara, Miren; Wain, John] PHE Microbiol Serv, London, England; [Lee, Adele V.; Couto-Parada, Xose; Ling, Clare; Clark, Duncan A.; Manuel, Rohini J.] Barts Hlth NHS Trust, PHE Publ Hlth Lab London, London, England; [Lee, Adele V.] Burnet Inst, Melbourne, Vic, Australia; [Polley, Spencer D.] Univ Coll London Hosp NHS Trust, London, England; [Chalmers, Rachel M.; Elwin, Kristin] Publ Hlth Wales Microbiol, Cryptosporidium Reference Lab, Swansea, W Glam, Wales; [Gray, Jim J.] Norfolk & Norwich Univ Hosp NHS Trust, Norfolk, VA USA; [Bolton, Frederick J.] PHE Publ Hlth Lab, Manchester, Lancs, England",University of London; University College London; Royal Free London NHS Foundation Trust; Barts Health NHS Trust; Burnet Institute; University of London; University College London; University College London Hospitals NHS Foundation Trust,"Halstead, FD (corresponding author), Royal Free London NHS Trust, London, England.",fenella_halstead@hotmail.co.uk,,,,,,,,20,21,,,,,,,,,,,OCT,2013,62,,10,,,,1535,1539,,10.1099/jmm.0.058743-0,http://dx.doi.org/10.1099/jmm.0.058743-0,,,,,,,,,,,,2024-11-27,WOS:000326212700006,View Full Record in Web of Science
J,"Chattaway, MA; Harris, R; Jenkins, C; Tam, C; Coia, JE; Gray, J; Iturriza-Gomara, M; Wain, J",,,,"Chattaway, M. A.; Harris, R.; Jenkins, C.; Tam, C.; Coia, J. E.; Gray, J.; Iturriza-Gomara, M.; Wain, J.",,,"Investigating the link between the presence of enteroaggregative Escherichia coli and infectious intestinal disease in the United Kingdom, 1993 to 1996 and 2008 to 2009",EUROSURVEILLANCE,,,,Article,,,,,,,,"There are an estimated 17 million human diarrhoea cases annually in the United Kingdom. In 2008 and 2009, enteroaggregative E. coli (EAEC) were identified in 1.9% of stools. However, it remains unclear whether there is a causal link between presence of EAEC and disease. This study used bacterial load, the presence of co-infections and demographic data to assess if EAEC was independently associated with intestinal infectious disease. Quantitative real-time PCR data (Ct values) generated directly from stool specimens for several pathogen targets were analysed to identify multiple pathogens, including EAEC, in the stools of cases and healthy controls. Sensitivity and specificity using Ct value (60% and 60%) was not useful for identifying cases or controls, but an independent association between disease and EAEC presence was demonstrated: multivariate logistic regression for EAEC presence (odds ratio: 2.41; 95% confidence interval: 1.78-3.26; p<0.001). The population-attributable fraction was 3.3%. The group of bacteria known as EAEC are associated with gastrointestinal disease in at least half of the cases with EAEC positive stools. We conclude that the current definition of EAEC, by plasmid gene detection, includes true pathogens as well as non-pathogenic variants.","[Chattaway, M. A.; Jenkins, C.; Wain, J.] Publ Hlth England, Gastrointestinal Bacteria Reference Unit, London, England; [Tam, C.] London Sch Hyg & Trop Med, Dept Infect Dis Epidemiol, London, England; [Coia, J. E.] Scottish Salmonella Shigella & Clostridium Diffic, Glasgow, Lanark, Scotland; [Gray, J.; Wain, J.] Univ E Anglia, Norwich & Norfolk Univ Hosp, Norwich NR4 7TJ, Norfolk, England; [Gray, J.; Wain, J.] Univ E Anglia, Norwich Med Sch, Norwich NR4 7TJ, Norfolk, England; [Iturriza-Gomara, M.] Univ Liverpool, Liverpool L69 3BX, Merseyside, England",Public Health England; University of London; London School of Hygiene & Tropical Medicine; University of East Anglia; University of East Anglia; University of Liverpool,"Chattaway, MA (corresponding author), Publ Hlth England, Gastrointestinal Bacteria Reference Unit, London, England.",J.Wain@uea.ac.uk,,,,,,,,4,4,,,,,,,,,,,SEP 12,2013,18,37,,,,,20,26,,,,,,,,,,,,,,,2024-11-27,WOS:000324615300003,View Full Record in Web of Science
J,"Tam, CC; Viviani, L; Rodrigues, LC; O'Brien, SJ",,,,"Tam, Clarence C.; Viviani, Laura; Rodrigues, Laura C.; O'Brien, Sarah J.",,,The second study of infectious intestinal disease (IID2): increased rates of recurrent diarrhoea in individuals aged 65 years and above,BMC PUBLIC HEALTH,,,,Article,,,,,,,,"Background: Infectious intestinal disease (IID) is a major health and economic burden in high-income countries. In the UK, there are an estimated 17 million IID cases annually, of which 6 million are caused by the 12 most common pathogens. Host factors that influence risk of IID are not well understood. Methods: We analyzed data from the IID2 Study, a UK cohort that measured IID incidence, to investigate factors associated with recurrent IID. We calculated rates of IID by age group, sex, previous episodes experienced, and socioecomic indicators. We used Cox models to investigate factors associated with recurrent illness. Results: The rate of IID was five times higher among infants than those aged 65 years and above (hazard ratio, HR = 5.0, 95% CI: 3.1 - 8.0). However, the association between previous IID and a subsequent IID episode was stronger in the elderly. Among those aged 65 years and above, each additional IID episode increased the rate of subsequent IID three-fold (HR = 3.1, 95% CI: 2.5 - 3.7). Among infants, the corresponding increase was 1.7-fold (HR = 1.7, 95% CI: 1.3 - 2.3). Conclusions: Elderly populations have a high propensity for recurrent IID. More detailed studies are needed to identify vulnerable subgroups and susceptibility factors, and inform adequate control policies among the elderly.","[Tam, Clarence C.; Viviani, Laura; Rodrigues, Laura C.] Univ London London Sch Hyg & Trop Med, Dept Infect Dis Epidemiol, London WC1E 7HT, England; [Tam, Clarence C.] Natl Univ Singapore, Saw Swee Hock Sch Publ Hlth, Singapore 117548, Singapore",University of London; London School of Hygiene & Tropical Medicine; National University of Singapore,"Tam, CC (corresponding author), Univ London London Sch Hyg & Trop Med, Dept Infect Dis Epidemiol, Keppel St, London WC1E 7HT, England.",clarence.tam@lshtm.ac.uk,,,,,,,,10,11,,,,,,,,,,,AUG 9,2013,13,,,,,,,,739,10.1186/1471-2458-13-739,http://dx.doi.org/10.1186/1471-2458-13-739,,,,,,,,,,,,2024-11-27,WOS:000323006300001,View Full Record in Web of Science
J,"Risebro, HL; Breton, L; Aird, H; Hooper, A; Hunter, PR",,,,"Risebro, Helen L.; Breton, Lynette; Aird, Heather; Hooper, Alan; Hunter, Paul R.",,,Contaminated Small Drinking Water Supplies and Risk of Infectious Intestinal Disease: A Prospective Cohort Study,PLOS ONE,,,,Article,,,,,,,,"Background: This study sought to identify whether elevated risk of infectious intestinal disease (IID) exists in contaminated small water supply consumers compared with consumers drinking from small supplies complying with current standards and whether this effect is modified by age. Methodology and Principal Findings: A prospective cohort study of 611 individuals receiving small supplies in England was conducted. Water supplies received sanitary inspection and examination for indicator bacteria and participants maintained a daily record of IID. Regression modeling with generalized estimating equations that included interaction terms between age and indicators of fecal pollution was performed. Crude IID prevalence was 9.3 days with symptoms/1000 person days (95% CI: 8.4, 10.1) and incidence was 3.2 episodes/1000 person days (95% CI, 2.7, 3.7) or 1.2 episodes per person year. Although there was no overall association between IID risk and indicator presence, there was strong interaction between age and indicator presence. In children under ten, relative risk (RR) of IID in those drinking from enterococci contaminated supplies was 4.8 (95% CI: 1.5, 15.3) for incidence and 8.9 (95% CI: 2.8, 27.5) for prevalence. In those aged 10 to 59, IID risk was lower but not statistically significant. Conclusions: Contaminated small water supplies pose a substantial risk of IID to young children who live in homes reliant on these supplies. By contrast older children and adults do not appear to be at increased risk. Health care professionals with responsibility for children living in homes provided by very small water supplies should make parents aware of the risk.","[Risebro, Helen L.; Breton, Lynette; Hunter, Paul R.] Univ E Anglia, Norwich Med Sch, Norwich NR4 7TJ, Norfolk, England; [Aird, Heather] Norfolk & Norwich Univ Hosp NHS Trust, Food Water & Environm Lab, Norwich, Norfolk, England; [Hooper, Alan] Hereford Cty Hosp, Dept Microbiol & Immunol, Hereford, England",University of East Anglia; Norfolk & Norwich University Hospitals NHS Foundation Trust,"Risebro, HL (corresponding author), Univ E Anglia, Norwich Med Sch, Norwich NR4 7TJ, Norfolk, England.",Paul.Hunter@uea.ac.uk,,,,,,,,18,20,,,,,,,,,,,AUG 24,2012,7,8,,,,,,,e42762,10.1371/journal.pone.0042762,http://dx.doi.org/10.1371/journal.pone.0042762,,,,,,,,,,,,2024-11-27,WOS:000308225500015,View Full Record in Web of Science
J,"Baumann-Popczyk, A; Sadkowska-Todys, M; Rogalska, J; Stefanoff, P",,,,"Baumann-Popczyk, A.; Sadkowska-Todys, M.; Rogalska, J.; Stefanoff, P.",,,Incidence of self-reported acute gastrointestinal infections in the community in Poland: a population-based study,EPIDEMIOLOGY AND INFECTION,,,,Article,,,,,,,,"A retrospective cross-sectional survey of self-reported acute gastrointestinal infection (AGI) incidence in the community was performed in Poland, from December 2008 to November 2009. The aim of the study was to estimate the magnitude and distribution of self-reported AGI, in order to calibrate the routine AGI surveillance system in Poland. The study population were randomly selected residents of all Polish regions, having a fixed telephone line. An equal number of telephone interviews were collected each month, requesting the interviewee to identify gastrointestinal symptoms that had occurred in the previous 4 weeks. The international AGI case definition was used. In total 3583 complete interviews were obtained. The compliance ratio was 26%. Of 3583 respondents, 240 (6.7%) individuals fulfilled the AGI case definition. The annualized incidence of acute gastroenteritis was 0.9/person-year (95% confidence interval 0.8-1.0). Comparison of the obtained annual AGI estimate (33.3 million infections) with the number of cases reported to national surveillance during the corresponding period (73 512), yielded an underreporting factor of 453 cases occurring in the community for each reported case. Of the 240 AGI cases, 30.4% consulted a general practitioner, and 4.6% were admitted to hospital. Samples for microbiological confirmation were collected from four (1.6%) cases. This first population-based study in eastern Europe has confirmed that AGI places a high burden on Polish society, which is underestimated by national surveillance data. Efforts are necessary to improve AGI reporting and diagnostic practices in order to increase the effectiveness of the Polish surveillance system in detecting threats related to new AGI pathogens, new routes of transmission or the potential for international spread.","[Baumann-Popczyk, A.; Sadkowska-Todys, M.; Rogalska, J.; Stefanoff, P.] Natl Inst Publ Hlth, Dept Epidemiol, Natl Inst Hyg, PL-00791 Warsaw, Poland",National Institute of Public Health (NIPH); National Institute of Hygiene (NIH),"Stefanoff, P (corresponding author), Natl Inst Publ Hlth, Dept Epidemiol, Natl Inst Hyg, 24 Chocimska Str, PL-00791 Warsaw, Poland.",pstefanoff@pzh.gov.pl,,,,,,,,24,26,,,,,,,,,,,JUL,2012,140,7,,,,,1173,1184,,10.1017/S0950268811001853,http://dx.doi.org/10.1017/S0950268811001853,,,,,,,,,,,,2024-11-27,WOS:000304013100003,View Full Record in Web of Science
J,"Scavia, G; Baldinelli, F; Busani, L; Caprioli, A",,,,"Scavia, G.; Baldinelli, F.; Busani, L.; Caprioli, A.",,,"The burden of self-reported acute gastrointestinal illness in Italy: a retrospective survey, 2008-2009",EPIDEMIOLOGY AND INFECTION,,,,Article,,,,,,,,"A retrospective telephone survey (n=3490) was conducted in Italy between 2008 and 2009 to estimate the occurrence of self-reported acute gastrointestinal illness (AGI) and to describe subjects' recourse to healthcare, using a symptom-based case definition. Three hundred and ten AGI cases were identified. The annual incidence rate was 1.08 episodes/person-year (95% confidence interval 0.90-1.14). The proportion of subjects consulting physicians was 39.5% while only 0.3% submitted a specimen for laboratory investigation. Risk factors for AGI and medical care-seeking were identified using logistic regression analysis. Females, children and young adults had a significantly higher incidence rate of AGI. Factors associated with medical care-seeking were age < 10 years, presence of fever, diarrhoea, and duration of illness > 3 days. Our results provide a relevant contribution towards estimating the global burden of AGI using standard methods that ensure a good level of comparability with other studies.","[Scavia, G.; Baldinelli, F.; Busani, L.; Caprioli, A.] Ist Super Sanita, I-00161 Rome, Italy; [Busani, L.] Ist Zooprofilattico Sperimentale Venezie, Padua, Italy",Istituto Superiore di Sanita (ISS); IZS delle Venezie,"Scavia, G (corresponding author), Ist Super Sanita, Viale Regina Elena 299, I-00161 Rome, Italy.",gaia.scavia@iss.it,,,,,,,,38,43,,,,,,,,,,,JUL,2012,140,7,,,,,1193,1206,,10.1017/S0950268811002020,http://dx.doi.org/10.1017/S0950268811002020,,,,,,,,,,,,2024-11-27,WOS:000304013100005,View Full Record in Web of Science
J,"Tam, CC; O'Brien, SJ; Tompkins, DS; Bolton, FJ; Berry, L; Dodds, J; Choudhury, D; Halstead, F; Iturriza-Gómara, M; Mather, K; Rait, G; Ridge, A; Rodrigues, LC; Wain, J; Wood, B; Gray, JJ",,,,"Tam, Clarence C.; O'Brien, Sarah J.; Tompkins, David S.; Bolton, Frederick J.; Berry, Lisa; Dodds, Julie; Choudhury, Dalia; Halstead, Fenella; Iturriza-Gomara, Miren; Mather, Katherine; Rait, Greta; Ridge, Alan; Rodrigues, Laura C.; Wain, John; Wood, Bernard; Gray, James J.",,IID2 Study Executive Comm,"Changes in Causes of Acute Gastroenteritis in the United Kingdom Over 15 Years: Microbiologic Findings From 2 Prospective, Population-Based Studies of Infectious Intestinal Disease",CLINICAL INFECTIOUS DISEASES,,,,Article,,,,,,,,"Background. Large-scale, prospective studies of infectious intestinal disease (IID) in developed countries are uncommon. Two studies of IID incidence and etiology have been conducted in the United Kingdom: the Infectious Intestinal Disease Study in England (IID1) in 1993-1996 and the Second Study of Infectious Intestinal Disease in the Community (IID2) in 2008-2009. We examined changes in etiology and diagnostic yield of IID cases over 15 years. Methods. Fecal samples submitted by IID cases were examined for a range of bacterial, viral, and protozoal pathogens using traditional and molecular microbiological methods. We calculated the percentage of specimens positive for each organism based on traditional methods and on traditional and molecular methods combined. We compared the distributions of organisms in the 2 studies. Results. For pathogens investigated in both studies, 40% of fecal samples submitted by cases in IID2 were positive compared with 28% in IID1. Viruses were most frequent among community cases in IID2. Campylobacter was the most common bacterial pathogen among cases presenting to healthcare. Major differences between the 2 studies were increases in the detection of norovirus and sapovirus and a decline Salmonella. Conclusions. Most fecal specimens were negative for the pathogens tested in both studies, so new strategies are needed to close the diagnostic gap. Among known pathogens, effective control of norovirus, rotavirus, and Campylobacter remain high priorities. The reduction in nontyphoidal salmonellosis demonstrates the success of Europe-wide control strategies, notably an industry-led Salmonella control program in poultry in the United Kingdom.","[Tam, Clarence C.; Rodrigues, Laura C.] London Sch Hyg & Trop Med, Dept Infect Dis Epidemiol, London, England; [O'Brien, Sarah J.] Univ Manchester, Sch Translat Med, Manchester M13 9PL, Lancs, England; [O'Brien, Sarah J.] Manchester Acad Hlth Sci Ctr, Manchester, Lancs, England; [Tompkins, David S.] Hlth Protect Agcy, Reg Lab, Leeds, W Yorkshire, England; [Bolton, Frederick J.; Mather, Katherine; Ridge, Alan; Wood, Bernard] Hlth Protect Agcy, Reg Lab, Manchester, Lancs, England; [Berry, Lisa; Choudhury, Dalia; Halstead, Fenella; Iturriza-Gomara, Miren; Wain, John; Gray, James J.] Hlth Protect Agcy, Ctr Infect, London, England; [Rait, Greta] UCL, Dept Primary Care & Populat Hlth, London WC1E 6BT, England; [Gray, James J.] Univ E Anglia, Sch Med Hlth Policy & Practice, Norwich NR4 7TJ, Norfolk, England",University of London; London School of Hygiene & Tropical Medicine; University of Manchester; University of Manchester; Health Protection Agency; Health Protection Agency; Health Protection Agency; University of London; University College London; University of East Anglia,"O'Brien, SJ (corresponding author), Univ Liverpool, Inst Infect & Global Hlth, Leahurst Campus,Chester High Rd, Neston CH64 7TE, England.",s.j.obrien@liverpool.ac.uk,,,,,,,,118,127,,,,,,,,,,,MAY 1,2012,54,9,,,,,1275,1286,,10.1093/cid/cis028,http://dx.doi.org/10.1093/cid/cis028,,,,,,,,,,,,2024-11-27,WOS:000302805700013,View Full Record in Web of Science
